Entry	Subcellular location [CC]
Q14524	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1309946, ECO:0000269|PubMed:19074138, ECO:0000269|PubMed:23085483, ECO:0000269|PubMed:26279430}; Multi-pass membrane protein {ECO:0000250|UniProtKB:D0E0C2}.
P00533	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Endoplasmic reticulum membrane; Single-pass type I membrane protein. Golgi apparatus membrane; Single-pass type I membrane protein. Nucleus membrane; Single-pass type I membrane protein. Endosome. Endosome membrane. Nucleus. Note=In response to EGF, translocated from the cell membrane to the nucleus via Golgi and ER. Endocytosed upon activation by ligand. Colocalized with GPER1 in the nucleus of estrogen agonist-induced cancer-associated fibroblasts (CAF).; SUBCELLULAR LOCATION: Isoform 2: Secreted.
Q01705	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: Notch 1 intracellular domain: Nucleus. Note=Following proteolytical processing NICD is translocated to the nucleus.
P05067	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein. Membrane, clathrin-coated pit. Note=Cell surface protein that rapidly becomes internalized via clathrin-coated pits. During maturation, the immature APP (N-glycosylated in the endoplasmic reticulum) moves to the Golgi complex where complete maturation occurs (O-glycosylated and sulfated). After alpha-secretase cleavage, soluble APP is released into the extracellular space and the C-terminal is internalized to endosomes and lysosomes. Some APP accumulates in secretory transport vesicles leaving the late Golgi compartment and returns to the cell surface. Gamma-CTF(59) peptide is located to both the cytoplasm and nuclei of neurons. It can be translocated to the nucleus through association with APBB1 (Fe65). Beta-APP42 associates with FRPL1 at the cell surface and the complex is then rapidly internalized. APP sorts to the basolateral surface in epithelial cells. During neuronal differentiation, the Thr-743 phosphorylated form is located mainly in growth cones, moderately in neurites and sparingly in the cell body. Casein kinase phosphorylation can occur either at the cell surface or within a post-Golgi compartment. Associates with GPC1 in perinuclear compartments. Colocalizes with SORL1 in a vesicular pattern in cytoplasm and perinuclear regions.
P35498	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17928445}; Multi-pass membrane protein {ECO:0000250|UniProtKB:D0E0C2}.
P10417	SUBCELLULAR LOCATION: Mitochondrion outer membrane; Single-pass membrane protein. Nucleus membrane; Single-pass membrane protein. Endoplasmic reticulum membrane; Single-pass membrane protein.
P51787	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10646604, ECO:0000269|PubMed:18165683, ECO:0000269|PubMed:21228319, ECO:0000269|PubMed:22024150, ECO:0000269|PubMed:25037568}; Multi-pass membrane protein {ECO:0000269|PubMed:18165683}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:18165683, ECO:0000269|PubMed:23529131}. Early endosome {ECO:0000269|PubMed:23529131}. Membrane raft {ECO:0000269|PubMed:20533308, ECO:0000269|PubMed:24855057}. Endoplasmic reticulum {ECO:0000269|PubMed:21228319, ECO:0000269|PubMed:24855057}. Basolateral cell membrane {ECO:0000269|PubMed:21228319}. Note=Colocalized with KCNE3 at the plasma membrane (PubMed:10646604). Upon 17beta-oestradiol treatment, colocalizes with RAB5A at early endosome (PubMed:23529131). Heterotetramer with KCNQ5 is highly retained at the endoplasmic reticulum and is localized outside of lipid raft microdomains (PubMed:24855057). During the early stages of epithelial cell polarization induced by the calcium switch it removed from plasma membrane to the endoplasmic reticulum where it retained and it is redistributed to the basolateral cell surface in a PI3K-dependent manner at a later stage (PubMed:21228319). {ECO:0000269|PubMed:10646604, ECO:0000269|PubMed:21228319, ECO:0000269|PubMed:23529131, ECO:0000269|PubMed:24855057}.
P49768	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10593990, ECO:0000269|PubMed:8574969, ECO:0000269|PubMed:9738936, ECO:0000305|PubMed:10037471, ECO:0000305|PubMed:15274632}; Multi-pass membrane protein {ECO:0000269|PubMed:25043039, ECO:0000269|PubMed:25918421, ECO:0000269|PubMed:26280335, ECO:0000269|PubMed:26623517}. Golgi apparatus membrane {ECO:0000269|PubMed:10593990, ECO:0000269|PubMed:8574969, ECO:0000305|PubMed:10037471, ECO:0000305|PubMed:15274632}; Multi-pass membrane protein {ECO:0000269|PubMed:25043039, ECO:0000269|PubMed:25918421, ECO:0000269|PubMed:26280335, ECO:0000269|PubMed:26623517}. Cytoplasmic granule {ECO:0000269|PubMed:11987239}. Cell membrane {ECO:0000269|PubMed:10593990, ECO:0000269|PubMed:11953314, ECO:0000269|PubMed:11987239, ECO:0000269|PubMed:21143716}. Note=Translocates with bound NOTCH1 from the endoplasmic reticulum and/or Golgi to the cell surface (PubMed:10593990). Colocalizes with CDH1/2 at sites of cell-cell contact. Colocalizes with CTNNB1 in the endoplasmic reticulum and the proximity of the plasma membrane (PubMed:9738936). Also present in azurophil granules of neutrophils (PubMed:11987239). Colocalizes with UBQLN1 in the cell membrane and in cytoplasmic juxtanuclear structures called aggresomes (PubMed:21143716). {ECO:0000269|PubMed:10593990, ECO:0000269|PubMed:11987239, ECO:0000269|PubMed:21143716, ECO:0000269|PubMed:9738936}.
Q12809	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18559421, ECO:0000269|PubMed:19412172, ECO:0000269|PubMed:26363003}; Multi-pass membrane protein {ECO:0000269|PubMed:18559421, ECO:0000269|PubMed:19412172}.
P13569	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:12519745, ECO:0000269|PubMed:12529365, ECO:0000269|PubMed:1284548, ECO:0000269|PubMed:15247260, ECO:0000269|PubMed:15716351, ECO:0000269|PubMed:17462998, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:19621064, ECO:0000269|PubMed:20008117, ECO:0000269|PubMed:22207244}; Multi-pass membrane protein {ECO:0000269|Ref.53}. Early endosome membrane {ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:20008117}; Multi-pass membrane protein {ECO:0000269|Ref.53}. Cell membrane {ECO:0000269|PubMed:10792060, ECO:0000269|PubMed:11524016, ECO:0000269|PubMed:11707463, ECO:0000269|PubMed:12588899, ECO:0000269|PubMed:15010471, ECO:0000269|PubMed:17036051, ECO:0000269|PubMed:1712898, ECO:0000269|PubMed:17182731, ECO:0000269|PubMed:19019741, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:22178883, ECO:0000269|PubMed:25330774, ECO:0000269|PubMed:26846474, ECO:0000269|PubMed:28001373, ECO:0000269|PubMed:28087700, ECO:0000269|PubMed:9804160, ECO:0000305|PubMed:8910473}; Multi-pass membrane protein {ECO:0000269|Ref.53}. Recycling endosome membrane {ECO:0000305|PubMed:17462998}; Multi-pass membrane protein {ECO:0000269|Ref.53}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11707463, ECO:0000269|PubMed:25330774}; Multi-pass membrane protein {ECO:0000269|Ref.53}. Note=The channel is internalized from the cell surface into an endosomal recycling compartment, from where it is recycled to the cell membrane (PubMed:17462998, PubMed:19398555, PubMed:20008117, Ref.?). In the oviduct and bronchus, detected on the apical side of epithelial cells, but not associated with cilia (PubMed:22207244). {ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:20008117, ECO:0000269|PubMed:22207244, ECO:0000305|PubMed:17462998}.
