UniProtId	Type	Annotations
Q14524	Multi-pass membrane protein	ECO:0000269|PubMed:1309946, ECO:0000269|PubMed:19074138, ECO:0000269|PubMed:23085483, ECO:0000269|PubMed:26279430
P00533	Single-pass membrane protein	None
Q01705	Single-pass membrane protein	None
P05067	Single-pass membrane protein	None
P35498	Multi-pass membrane protein	ECO:0000269|PubMed:17928445
P10417	Single-pass membrane protein	None
P51787	Multi-pass membrane protein	ECO:0000269|PubMed:10646604, ECO:0000269|PubMed:18165683, ECO:0000269|PubMed:21228319, ECO:0000269|PubMed:22024150, ECO:0000269|PubMed:25037568
P49768	Multi-pass membrane protein	ECO:0000269|PubMed:10593990, ECO:0000269|PubMed:8574969, ECO:0000269|PubMed:9738936, ECO:0000305|PubMed:10037471, ECO:0000305|PubMed:15274632
Q12809	Multi-pass membrane protein	ECO:0000269|PubMed:18559421, ECO:0000269|PubMed:19412172, ECO:0000269|PubMed:26363003
P13569	Multi-pass membrane protein	ECO:0000269|PubMed:12519745, ECO:0000269|PubMed:12529365, ECO:0000269|PubMed:1284548, ECO:0000269|PubMed:15247260, ECO:0000269|PubMed:15716351, ECO:0000269|PubMed:17462998, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:19621064, ECO:0000269|PubMed:20008117, ECO:0000269|PubMed:22207244
P21802	Single-pass membrane protein	None
P35670	Multi-pass membrane protein	ECO:0000269|PubMed:17919502, ECO:0000269|PubMed:22240481, ECO:0000269|PubMed:24706876
P11362	Single-pass membrane protein	None
P49769	Multi-pass membrane protein	ECO:0000250|UniProtKB:P49768
P01130	Single-pass membrane protein	ECO:0000269|PubMed:17461796, ECO:0000269|PubMed:19520913
P21803	Single-pass membrane protein	ECO:0000250
P04626	Single-pass membrane protein	None
P01375	Single-pass membrane protein	ECO:0000269|PubMed:16829952
P10721	Single-pass membrane protein	None
Q13563	Multi-pass membrane protein	ECO:0000269|PubMed:18695040, ECO:0000269|PubMed:20881056, ECO:0000269|PubMed:27259053
P07949	Single-pass membrane protein	ECO:0000269|PubMed:19823924
Q07813	Single-pass membrane protein	ECO:0000250
P12023	Single-pass membrane protein	ECO:0000269|PubMed:15677459
P21817	Multi-pass membrane protein	ECO:0000269|PubMed:7556644
P06804	Single-pass membrane protein	ECO:0000250
P06213	Single-pass membrane protein	None
P34968	Multi-pass membrane protein	None
P29275	Multi-pass membrane protein	None
Q8K440	Multi-pass membrane protein	ECO:0000250
Q9BZC7	Multi-pass membrane protein	ECO:0000269|PubMed:11309290
Q8R420	Multi-pass membrane protein	ECO:0000305
O35600	Multi-pass membrane protein	ECO:0000250
Q8K448	Multi-pass membrane protein	ECO:0000250
